scenario,date,origin,destination,ready,feasible,reason,out_trip,out_route,out_board_stop,out_board_sequence,out_departure,out_alight_stop,out_alight_sequence,out_arrival,shopping_start,shopping_end,back_trip,back_route,back_board_stop,back_board_sequence,back_departure,back_alight_stop,back_alight_sequence,back_arrival,origin_return,elapsed_minutes,initial_wait_minutes,store_open_wait_minutes,return_wait_minutes,bus_minutes,within_budget
baseline,2026-09-15,越前大野駅,kajiso_libre,13:00:00,True,,1+1+毎日+4,1,1_1,1,13:05:00,21_1,21,13:32:00,13:37:00,14:22:00,1+1+平日+5,1,21_1,21,16:02:00,1_1,24,16:06:00,16:08:00,188.0,3.0,0.0,95.0,31.0,False
baseline,2026-09-15,越前大野駅,kajiso_libre,13:30:00,True,,2+0+平日+4,2,1_1,24,13:50:00,21_2,28,13:54:00,13:59:00,14:44:00,1+1+平日+5,1,21_1,21,16:02:00,1_1,24,16:06:00,16:08:00,158.0,18.0,0.0,73.0,8.0,True
baseline,2026-09-15,越前大野駅,kajiso_libre,14:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,2026-09-15,越前大野駅,kajiso_libre,14:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,2026-09-15,越前大野駅,kajiso_libre,15:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,2026-09-15,越前大野駅,kajiso_libre,15:30:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,2026-09-15,越前大野駅,kajiso_libre,16:00:00,False,no_return_by_deadline,,,,,,,,,,,,,,,,,,,,,,,,,False
baseline,2026-09-15,越前大野駅,kajiso_vio,08:00:00,True,,2+0+平日+2,2,1_1,1,09:15:00,25_0,17,09:38:00,09:43:00,10:28:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,214.0,73.0,0.0,46.0,36.0,False
baseline,2026-09-15,越前大野駅,kajiso_vio,08:30:00,True,,2+0+平日+2,2,1_1,1,09:15:00,25_0,17,09:38:00,09:43:00,10:28:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,184.0,43.0,0.0,46.0,36.0,False
baseline,2026-09-15,越前大野駅,kajiso_vio,09:00:00,True,,2+0+平日+2,2,1_1,1,09:15:00,25_0,17,09:38:00,09:43:00,10:28:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,154.0,13.0,0.0,46.0,36.0,True
baseline,2026-09-15,越前大野駅,kajiso_vio,09:30:00,True,,1+1+毎日+2,1,1_1,24,10:00:00,25_0,32,10:13:00,10:18:00,11:03:00,2+0+毎日+3,2,25_0,17,11:19:00,1_1,24,11:32:00,11:34:00,124.0,28.0,0.0,11.0,26.0,True
baseline,2026-09-15,越前大野駅,kajiso_vio,10:00:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,25_0,17,11:19:00,11:24:00,12:09:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,218.0,54.0,0.0,69.0,36.0,False
baseline,2026-09-15,越前大野駅,kajiso_vio,10:30:00,True,,2+0+毎日+3,2,1_1,1,10:56:00,25_0,17,11:19:00,11:24:00,12:09:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,188.0,24.0,0.0,69.0,36.0,False
baseline,2026-09-15,越前大野駅,kajiso_vio,11:00:00,True,,1+1+平日+3,1,1_1,24,11:43:00,25_0,32,11:56:00,12:01:00,12:46:00,2+0+平日+4,2,25_0,17,13:23:00,1_1,24,13:36:00,13:38:00,158.0,41.0,0.0,32.0,26.0,True
